종목코드,종목명,자본
005930,삼성전자,695847634
000660,SK하이닉스,211575687
373220,LG에너지솔루션,21396774
207940,삼성바이오로직스,11421130
005380,현대차,101184463
329180,HD현대중공업,10903115
402340,SK스퀘어,68462054
012450,한화에어로스페이스,10367769
034020,두산에너빌리티,30528009
000270,기아,55293376
105560,KB금융,86487862
068270,셀트리온,17418306
028260,삼성물산,74017058
035420,NAVER,29485864
055550,신한지주,82965689
042660,한화오션,13085926
012330,현대모비스,63855194
032830,삼성생명,78800000
015760,한국전력,84168622
009540,HD한국조선해양,17671569
267260,HD현대일렉트릭,2126561
035720,카카오,15549515
086790,하나금융지주,62358236
010130,고려아연,11013830
005490,POSCO홀딩스,68568194
051910,LG화학,38536475
000810,삼성화재,24071099
006400,삼성SDI,24402022
010140,삼성중공업,7547331
316140,우리금융지주,57094825
064350,현대로템,6349176
138040,메리츠금융지주,9620186
011200,HMM,33923470
009150,삼성전기,16005792
034730,SK,53134123
096770,SK이노베이션,34914576
298040,효성중공업,4898826
033780,KT&G,12700364
024110,기업은행,46405756
003670,포스코퓨처엠,3554048
267250,HD현대,19592364
066570,LG전자,19696393
352820,하이브,5089696
010120,LS ELECTRIC,5000000
086280,현대글로비스,11881579
006800,미래에셋증권,30094209
030200,KT,20394371
018260,삼성에스디에스,11640608
000150,두산,4533113
003550,LG,28943447
042700,한미반도체,864870
259960,크래프톤,4485132
017670,SK텔레콤,11156571
047810,한국항공우주,3328702
323410,카카오뱅크,6282590
272210,한화시스템,5190513
326030,SK바이오팜,318156
010950,S-Oil,13161087
071050,한국금융지주,18021786
079550,LIG넥스원,2026696
005830,DB손해보험,15469800
003230,삼양식품,918133
307950,현대오토에버,4157426
047050,포스코인터내셔널,7861054
007660,이수페타시스,1350367
000100,유한양행,2066311
443060,HD현대마린솔루션,322470
278470,에이피알,935766
003490,대한항공,9435655
180640,한진칼,4499197
000720,현대건설,22302969
039490,키움증권,11902620
005940,NH투자증권,11748228
161390,한국타이어앤테크놀로지,14738606
090430,아모레퍼시픽,4722895
377300,카카오페이,3529589
029780,삼성카드,12454831
016360,삼성증권,11412237
006260,LS,11521509
032640,LG유플러스,12167448
021240,코웨이,3396143
011070,LG이노텍,7918254
000880,한화,25485971
034220,LG디스플레이,12051020
128940,한미약품,1556604
241560,두산밥캣,7901279
078930,GS,18682629
454910,두산로보틱스,654070
001040,CJ,8364073
138930,BNK금융지주,15120991
028050,삼성E&A,5068602
175330,JB금융지주,7855710
009830,한화솔루션,13162057
036570,엔씨소프트,3808000
001440,대한전선,2635582
022100,포스코DX,692710
004020,현대제철,29596371
011790,SKC,1562628
062040,산일전기,303519
035250,강원랜드,4607014
051900,LG생활건강,4208177
251270,넷마블,4879125
271560,오리온,2963808
066970,엘앤에프,1549768
302440,SK바이오사이언스,1664514
450080,에코프로머티,647203
002380,KCC,11323518
111770,영원무역,6359084
082740,한화엔진,609533
052690,한전기술,934728
036460,한국가스공사,11702906
017800,현대엘리베이터,2348203
097950,CJ제일제당,5493458
071970,HD현대마린엔진,979346
011780,금호석유화학,7663490
011170,롯데케미칼,18794450
088350,한화생명,20193321
012750,에스원,2191793
004990,롯데지주,12064561
204320,HL만도,3205097
001450,현대해상,8604750
103140,풍산,4325487
009970,영원무역홀딩스,6305132
383220,F&F,1640022
008930,한미사이언스,979919
004370,농심,2955891
004170,신세계,7941200
139130,iM금융지주,10956304
000240,한국앤컴퍼니,6206392
081660,미스토홀딩스,2020545
030000,제일기획,1816441
026960,동서,1593420
014680,한솔케미칼,2063006
000120,CJ대한통운,4591591
139480,이마트,14956933
028670,팬오션,5562414
051600,한전KPS,1426442
002790,아모레퍼시픽홀딩스,3809736
009420,한올바이오파마,217256
011210,현대위아,6862227
010060,OCI홀딩스,6938100
001430,세아베스틸지주,5000772
005850,에스엘,2764332
006040,동원산업,3425557
006280,녹십자,1176051
008770,호텔신라,761072
018880,한온시스템,2236146
023530,롯데쇼핑,12818344
069620,대웅제약,1050719
069960,현대백화점,8717013
112610,씨에스윈드,904294
192820,코스맥스,396139
282330,BGF리테일,1097790
361610,SK아이이테크놀로지,3057861
457190,이수스페셜티케미컬,194807
034230,파라다이스,2592054
017960,한국카본,1220053
007340,DN오토모티브,2069080
007310,오뚜기,2204307
007070,GS리테일,4001212
006360,GS건설,4958691
073240,금호타이어,1558653
161890,한국콜마,755606
375500,DL이앤씨,5897196
047040,대우건설,4961494
004000,롯데정밀화학,2736643
000080,하이트진로,1042955
300720,한일시멘트,2097789
003090,대웅,1363863
285130,SK케미칼,2832672
071320,지역난방공사,4853004
192080,더블유게임즈,952216
001800,오리온홀딩스,3155190
005300,롯데칠성,1677430
120110,코오롱인더,4255969
185750,종근당,789138
006650,대한유화,3620000
004490,세방전지,1221111
003240,태광산업,6526238
000670,영풍,5042506
009240,한샘,472213
298050,HS효성첨단소재,707443
298020,효성티앤씨,1188777
280360,롯데웰푸드,2221467
137310,에스디바이오센서,2407927
114090,GKL,557819
093370,후성,524437
001680,대상,1402579
003030,세아제강지주,1294015
002840,미원상사,302511
002030,아세아,1691798
005250,녹십자홀딩스,935861
014820,동원시스템즈,474661
268280,미원에스씨,356091
005420,코스모화학,276964
008730,율촌화학,380857
069260,TKG휴켐스,992615
000210,DL,4152574
